name,T_2016_01,T_2016_02,T_2016_03,T_2016_04,T_2016_05,T_2016_06,T_2016_07,T_2016_08,T_2016_09,T_2016_10,T_2016_11,T_2016_12
Argentina,73320,70433,71008,74508,89167,75114,93750,72313,82706,81392,58043,64742
Australia,109199,70569,89169,112134,118166,129655,122623,117953,148410,119096,89145,120368
Bahamas,0,0,0,0,0,0,0,41775,0,0,0,0
Brazil,193381,126866,114214,134315,143238,128468,145458,123126,131651,152993,131410,168208
Canada,1356784,1230522,1798325,1610310,1692879,1375677,2019920,2343706,1639762,1557578,1405354,1270466
Chile,0,33793,0,0,0,0,0,0,0,0,0,0
China,291285,209277,175574,183718,242539,250353,355208,390379,280227,240177,160560,192967
Colombia,54164,41909,67635,53845,69676,100043,81130,62963,61451,76341,67879,98879
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,41019
Dominican Rep.,0,0,0,0,0,0,0,0,0,0,0,41494
Ecuador,0,32880,40501,42244,0,0,0,43272,0,0,36349,0
France,79644,106656,100775,184295,135050,123652,210164,187632,125745,165796,93906,114754
Germany,108582,117600,182583,155667,194844,151803,199629,212174,218613,228003,137690,127678
India,90644,56023,74127,105980,165942,142655,116281,122364,88833,74654,65025,69728
Ireland,0,0,44425,0,0,48423,0,0,42532,0,43807,0
Israel,0,0,0,43016,0,0,46649,0,0,50102,0,0
Italy,59270,52089,71184,65373,68182,89336,96808,153411,79224,76656,69235,102073
Japan,268020,299292,336254,247079,258712,274967,294615,373980,341936,304863,294178,283059
Mexico,1509233,1228922,1469191,1472392,1562068,1523634,1724006,1778174,1503453,1618625,1619322,1732667
Netherlands,35291,39491,41534,74413,59899,47554,97734,60039,61564,65523,45418,43586
Saudi Arabia,37504,0,0,0,0,0,0,56612,0,0,0,0
Korea,180240,150013,125417,135778,154294,171761,194637,169957,178427,168039,159293,186080
Spain,40971,38209,71936,48716,56024,73836,84411,106804,70850,66493,59018,83429
Sweden,37274,40260,55035,44918,38105,59741,0,0,0,66996,44601,55935
Switzerland,0,0,0,47770,40215,0,69249,0,44105,53004,0,0
Taiwan,39501,37489,0,0,38383,52294,50229,0,44058,0,0,0
United Kingdom,229649,280191,407482,367440,412233,365801,451589,504726,442920,472477,321452,317748
Venezuela,37213,0,45022,0,45696,46973,56863,64601,47913,46130,46673,70339
